"partyid","age","sex","race","degree","attend"
"Democrat",87,"2","1","1","2"
"Democrat",46,"2","1","3","4"
"Democrat",78,"2","1","3","4"
"Democrat",38,"2","1","1","2"
"Democrat",61,"1","1","2","3"
"Republican",37,"1","1","3","2"
"Democrat",47,"1","1","1","0"
"Democrat",26,"1","3","4","0"
"Democrat",55,"2","1","4","8"
"Democrat",81,"2","1","0","0"
"Democrat",32,"1","1","3","1"
"Republican",27,"1","1","1","0"
"Republican",39,"2","1","4","7"
"Democrat",55,"2","1","3","7"
"Democrat",85,"2","1","1","3"
"Democrat",55,"2","1","0","3"
"Democrat",72,"1","1","1","7"
"Democrat",34,"2","1","2","1"
"Democrat",60,"2","1","1","0"
"Republican",85,"1","1","1","7"
"Republican",42,"1","1","1","0"
"Democrat",61,"2","1","3","0"
"Democrat",48,"1","1","3","0"
"Democrat",25,"1","3","3","2"
"Republican",34,"1","3","1","2"
"Democrat",37,"2","3","3","2"
"Democrat",82,"1","1","4","3"
"Democrat",43,"2","1","3","0"
"Democrat",25,"2","1","1","2"
"Democrat",19,"2","2","1","4"
"Democrat",64,"1","1","1","0"
"Democrat",51,"2","1","4","1"
"Republican",55,"1","3","3","4"
"Democrat",36,"2","2","1","3"
"Democrat",28,"1","1","3","2"
"Republican",35,"1","1","3","7"
"Republican",37,"1","3","4","7"
"Democrat",21,"1","1","1","2"
"Democrat",49,"1","3","3","6"
"Republican",42,"2","3","1","5"
"Republican",69,"2","1","1","0"
"Republican",32,"2","1","3","7"
"Democrat",48,"2","1","3","0"
"Republican",20,"1","1","0","0"
"Democrat",51,"2","1","4","2"
"Republican",89,"2","1","3","2"
"Democrat",18,"2","1","1","2"
"Republican",62,"2","1","3","7"
"Democrat",19,"2","2","1","3"
"Democrat",38,"2","2","1","3"
"Republican",31,"1","1","1","3"
"Republican",51,"2","1","4","4"
"Democrat",48,"2","1","3","0"
"Republican",70,"2","1","1","3"
"Republican",58,"2","1","3","5"
"Republican",63,"1","1","3","4"
"Republican",44,"2","1","1","2"
"Republican",87,"2","1","1","7"
"Republican",52,"2","2","1","8"
"Republican",32,"1","1","2","5"
"Democrat",43,"1","1","4","4"
"Republican",51,"2","1","3","3"
"Republican",58,"1","1","4","0"
"Democrat",75,"2","1","0","8"
"Republican",71,"2","1","3","7"
"Democrat",72,"2","1","1","3"
"Republican",64,"2","1","1","7"
"Democrat",35,"2","1","1","2"
"Democrat",34,"1","2","1","5"
"Republican",34,"1","1","1","2"
"Republican",53,"1","1","1","2"
"Democrat",41,"1","1","4","0"
"Democrat",46,"1","2","1","1"
"Democrat",54,"1","1","3","0"
"Republican",59,"2","1","1","0"
"Republican",51,"1","1","1","7"
"Democrat",39,"1","3","2","2"
"Republican",49,"2","1","1","5"
"Democrat",57,"2","1","3","0"
"Republican",39,"2","1","4","2"
"Republican",46,"1","1","3","0"
"Democrat",41,"1","1","3","2"
"Democrat",29,"1","3","4","2"
"Republican",58,"1","1","1","0"
"Democrat",48,"2","3","4","4"
"Democrat",54,"2","2","2","1"
"Democrat",37,"2","2","0","8"
"Republican",27,"2","1","2","0"
"Democrat",19,"1","1","0","0"
"Republican",55,"1","1","1","4"
"Republican",39,"2","1","2","7"
"Democrat",68,"2","2","0","7"
"Democrat",47,"2","2","4","2"
"Republican",37,"1","1","1","3"
"Democrat",31,"1","2","4","5"
"Democrat",22,"2","1","1","2"
"Republican",61,"2","1","3","5"
"Republican",56,"2","1","2","5"
"Republican",34,"1","1","0","0"
"Republican",53,"1","3","0","4"
"Democrat",22,"1","3","1","5"
"Republican",75,"1","1","4","8"
"Democrat",44,"1","1","4","0"
"Republican",26,"1","1","1","0"
"Republican",40,"2","1","2","4"
"Democrat",49,"1","3","0","7"
"Republican",49,"2","1","1","2"
"Democrat",80,"1","2","1","4"
"Republican",74,"1","1","1","3"
"Republican",75,"1","1","3","3"
"Republican",40,"2","1","1","3"
"Republican",48,"2","1","0","7"
"Democrat",30,"2","2","1","4"
"Republican",41,"2","2","1","3"
"Republican",50,"1","2","0","5"
"Democrat",30,"1","1","1","3"
"Democrat",47,"2","2","1","8"
"Democrat",65,"2","2","0","8"
"Democrat",47,"2","2","4","6"
"Democrat",31,"1","3","3","7"
"Republican",58,"1","1","1","0"
"Republican",66,"2","1","1","1"
"Democrat",37,"2","1","1","2"
"Republican",40,"2","1","2","5"
"Republican",56,"1","1","1","7"
"Republican",49,"2","1","1","3"
"Republican",30,"2","1","2","3"
"Republican",45,"2","1","4","3"
"Democrat",30,"2","2","0","2"
"Democrat",58,"2","2","3","5"
"Democrat",62,"1","2","1","8"
"Republican",32,"1","1","0","5"
"Republican",24,"2","1","0","2"
"Democrat",71,"1","1","1","0"
"Democrat",31,"1","2","2","8"
"Republican",42,"2","1","2","7"
"Republican",41,"2","1","1","0"
"Democrat",64,"2","1","2","0"
"Republican",72,"1","1","1","2"
"Democrat",43,"2","1","3","3"
"Democrat",84,"1","1","4","3"
"Republican",34,"1","1","3","5"
"Republican",59,"1","1","1","3"
"Democrat",63,"2","1","1","0"
"Republican",66,"2","1","0","2"
"Democrat",66,"1","1","3","0"
"Democrat",42,"1","3","4","2"
"Republican",52,"1","1","4","7"
"Democrat",42,"1","3","4","2"
"Democrat",45,"1","2","3","4"
"Democrat",31,"1","2","1","5"
"Democrat",81,"1","2","1","2"
"Democrat",30,"1","2","4","5"
"Democrat",58,"1","1","2","3"
"Republican",76,"2","1","1","7"
"Democrat",40,"2","1","4","6"
"Democrat",35,"2","1","3","2"
"Democrat",36,"2","1","4","3"
"Democrat",70,"1","1","1","1"
"Democrat",28,"1","1","1","2"
"Republican",51,"2","1","1","0"
"Republican",46,"2","1","3","5"
"Democrat",78,"2","1","4","0"
"Republican",64,"2","1","1","2"
"Democrat",63,"1","1","2","7"
"Democrat",35,"2","1","3","3"
"Democrat",72,"1","3","1","7"
"Democrat",88,"1","3","1","0"
"Republican",99,"2","1","1","3"
"Democrat",19,"1","2","1","0"
"Republican",33,"2","1","1","7"
"Democrat",67,"2","1","1","0"
"Democrat",50,"1","1","4","3"
"Democrat",28,"1","1","3","2"
"Democrat",28,"2","3","3","4"
"Democrat",20,"2","1","1","1"
"Democrat",51,"1","1","1","0"
"Republican",65,"2","1","1","0"
"Republican",32,"2","1","2","8"
"Republican",51,"1","1","1","6"
"Democrat",48,"2","1","1","0"
"Republican",42,"1","3","1","8"
"Republican",39,"2","1","1","0"
"Republican",45,"2","3","1","2"
"Democrat",42,"1","1","1","4"
"Republican",69,"2","1","1","2"
"Democrat",18,"1","3","1","4"
"Republican",49,"2","1","1","2"
"Republican",39,"2","3","3","7"
"Democrat",25,"1","3","1","1"
"Republican",45,"2","1","3","3"
"Democrat",24,"1","1","1","0"
"Republican",86,"2","1","1","8"
"Republican",63,"2","1","1","1"
"Democrat",27,"2","2","1","7"
"Republican",38,"1","3","1","6"
"Republican",51,"1","1","3","4"
"Democrat",36,"1","2","1","6"
"Democrat",23,"2","1","1","0"
"Democrat",63,"2","1","1","2"
"Democrat",45,"2","1","4","2"
"Democrat",36,"1","1","0","7"
"Democrat",64,"1","2","3","7"
"Democrat",46,"1","1","0","4"
"Democrat",34,"1","1","1","4"
"Republican",28,"1","1","3","3"
"Democrat",23,"1","1","1","2"
"Republican",29,"1","1","1","5"
"Republican",57,"1","1","1","7"
"Democrat",67,"2","1","1","7"
"Republican",27,"2","1","1","7"
"Republican",43,"2","1","3","1"
"Republican",42,"1","1","1","0"
"Democrat",35,"2","1","2","0"
"Democrat",18,"1","2","0","2"
"Democrat",25,"1","1","1","0"
"Republican",52,"1","1","3","4"
"Democrat",25,"2","1","1","2"
"Republican",77,"1","1","0","7"
"Democrat",24,"2","1","1","4"
"Republican",70,"2","1","1","3"
"Democrat",84,"1","1","1","0"
"Democrat",57,"1","1","1","7"
"Republican",49,"2","1","1","5"
"Democrat",38,"1","1","1","1"
"Democrat",49,"2","1","1","1"
"Republican",54,"1","1","1","6"
"Democrat",21,"1","1","1","0"
"Democrat",20,"1","1","1","2"
"Democrat",76,"2","1","1","7"
"Democrat",43,"2","2","1","8"
"Democrat",28,"2","1","4","0"
"Democrat",81,"1","1","0","1"
"Democrat",76,"2","1","1","8"
"Democrat",62,"1","1","1","2"
"Democrat",62,"1","1","1","3"
"Democrat",29,"2","1","3","7"
"Democrat",31,"1","3","4","2"
"Republican",41,"1","1","1","5"
"Republican",30,"2","1","3","7"
"Republican",50,"1","1","1","0"
"Democrat",22,"1","1","1","7"
"Democrat",22,"2","1","0","0"
"Democrat",54,"2","1","3","3"
"Democrat",76,"2","2","1","5"
"Republican",64,"1","1","3","4"
"Republican",56,"2","1","3","7"
"Republican",19,"2","1","0","7"
"Democrat",45,"2","1","1","7"
"Democrat",47,"2","1","3","3"
"Democrat",20,"1","2","1","5"
"Democrat",24,"1","3","2","4"
"Democrat",67,"2","1","1","3"
"Republican",48,"1","1","1","0"
"Republican",47,"2","1","1","4"
"Republican",75,"2","1","1","0"
"Republican",76,"2","1","1","3"
"Republican",51,"2","1","0","5"
"Democrat",37,"1","1","1","0"
"Republican",22,"2","1","1","7"
"Republican",41,"1","1","1","1"
"Democrat",43,"2","1","0","2"
"Republican",66,"2","1","1","6"
"Democrat",47,"2","1","1","1"
"Democrat",50,"1","1","3","7"
"Republican",57,"1","3","2","7"
"Republican",61,"1","1","3","2"
"Republican",87,"1","1","2","7"
"Republican",32,"1","1","3","2"
"Republican",42,"1","1","3","7"
"Republican",89,"2","1","1","7"
"Republican",55,"2","1","1","1"
"Democrat",38,"2","1","3","2"
"Republican",62,"1","1","2","4"
"Republican",51,"1","1","3","7"
"Democrat",27,"2","1","2","0"
"Republican",36,"1","1","0","2"
"Democrat",34,"2","1","1","3"
"Democrat",36,"2","3","3","0"
"Republican",29,"1","1","2","0"
"Democrat",42,"2","1","1","0"
"Republican",51,"1","3","2","7"
"Democrat",25,"1","1","1","2"
"Republican",45,"2","1","1","0"
"Republican",61,"1","1","1","0"
"Republican",54,"2","1","1","7"
"Republican",56,"2","1","1","1"
"Democrat",63,"1","1","0","4"
"Republican",78,"1","1","1","7"
"Republican",45,"2","1","3","7"
"Republican",48,"1","1","1","2"
"Republican",30,"1","1","1","3"
"Democrat",30,"2","1","0","1"
"Republican",44,"1","1","3","7"
"Democrat",42,"2","1","2","0"
"Democrat",64,"2","2","2","5"
"Republican",42,"2","1","3","7"
"Democrat",46,"1","1","3","0"
"Democrat",63,"2","1","1","0"
"Republican",27,"2","1","1","4"
"Democrat",50,"1","2","3","4"
"Republican",68,"1","1","3","4"
"Republican",55,"2","1","1","7"
"Democrat",58,"2","2","0","5"
"Democrat",19,"2","1","1","0"
"Democrat",42,"1","1","0","7"
"Democrat",38,"2","1","1","0"
"Republican",63,"1","1","1","0"
"Democrat",71,"2","2","1","8"
"Republican",77,"2","1","1","7"
"Democrat",48,"2","1","1","8"
"Republican",56,"2","1","1","3"
"Democrat",23,"2","1","1","0"
"Democrat",49,"2","1","1","2"
"Republican",22,"2","1","3","5"
"Republican",38,"1","1","1","5"
"Democrat",22,"1","1","0","0"
"Republican",46,"1","1","1","1"
"Democrat",63,"1","1","0","0"
"Republican",19,"1","1","0","0"
"Democrat",64,"2","1","1","4"
"Republican",49,"2","1","1","5"
"Republican",45,"1","1","0","3"
"Republican",45,"2","2","1","7"
"Republican",31,"1","1","3","7"
"Democrat",21,"2","1","1","0"
"Republican",28,"1","1","1","2"
"Democrat",74,"2","1","1","7"
"Republican",38,"1","3","0","0"
"Democrat",80,"1","2","0","8"
