"partyid","age","sex","race","degree","attend"
"Republican",84,"1","1","0","8"
"Democrat",87,"1","1","1","7"
"Republican",75,"1","1","0","5"
"Republican",47,"2","1","1","2"
"Republican",86,"2","1","1","7"
"Republican",55,"1","1","1","0"
"Republican",76,"2","1","1","8"
"Republican",84,"2","1","3","4"
"Republican",42,"2","1","3","8"
"Democrat",59,"2","1","4","1"
"Republican",55,"2","1","3","7"
"Democrat",44,"2","1","3","7"
"Republican",50,"2","1","3","7"
"Republican",47,"1","1","4","6"
"Democrat",50,"2","1","0","3"
"Democrat",25,"1","1","3","0"
"Democrat",68,"2","1","1","7"
"Republican",77,"1","1","4","7"
"Republican",28,"2","1","2","7"
"Republican",58,"1","1","0","0"
"Democrat",60,"2","1","0","5"
"Democrat",38,"2","1","1","5"
"Democrat",89,"1","1","0","7"
"Democrat",53,"2","1","1","5"
"Democrat",26,"2","3","1","0"
"Democrat",42,"2","1","1","3"
"Democrat",52,"2","1","1","0"
"Republican",46,"2","1","4","6"
"Democrat",18,"1","3","0","0"
"Republican",26,"2","1","1","7"
"Republican",40,"2","1","1","1"
"Republican",33,"1","1","1","0"
"Republican",57,"1","1","1","0"
"Democrat",41,"1","1","3","4"
"Republican",21,"1","1","1","1"
"Republican",21,"2","1","1","0"
"Democrat",45,"2","1","4","0"
"Republican",21,"1","1","1","1"
"Republican",34,"1","1","2","0"
"Democrat",68,"2","1","1","0"
"Democrat",59,"1","1","1","1"
"Republican",40,"2","1","1","7"
"Republican",41,"2","1","3","6"
"Republican",64,"1","1","1","0"
"Republican",55,"2","1","4","5"
"Democrat",33,"1","1","1","0"
"Republican",83,"1","1","1","7"
"Republican",48,"2","1","3","5"
"Republican",68,"2","1","4","7"
"Democrat",38,"2","1","1","2"
"Democrat",24,"1","1","1","0"
"Republican",77,"1","1","1","0"
"Democrat",83,"2","1","4","7"
"Democrat",89,"2","1","0","0"
"Republican",34,"2","1","1","7"
"Republican",45,"1","1","2","2"
"Republican",45,"1","1","3","7"
"Republican",42,"1","1","2","4"
"Republican",43,"1","1","1","1"
"Republican",47,"1","1","1","3"
"Democrat",59,"2","1","1","4"
"Democrat",22,"2","1","1","0"
"Democrat",30,"1","1","1","0"
"Republican",89,"1","1","0","8"
"Democrat",25,"1","3","1","3"
"Democrat",62,"1","1","1","4"
"Republican",35,"1","1","1","5"
"Republican",51,"2","1","1","5"
"Republican",61,"1","1","3","7"
"Democrat",28,"2","1","3","3"
"Democrat",86,"2","1","0","7"
"Republican",85,"2","1","1","7"
"Republican",60,"2","1","3","7"
"Republican",44,"1","1","3","6"
"Republican",53,"2","1","1","4"
"Democrat",41,"2","1","1","0"
"Republican",39,"1","1","3","6"
"Republican",42,"1","1","1","2"
"Democrat",54,"1","1","1","6"
"Democrat",43,"2","1","1","6"
"Democrat",22,"2","1","1","5"
"Republican",30,"1","1","3","0"
"Republican",65,"1","1","1","1"
"Democrat",65,"1","1","1","3"
"Republican",70,"2","1","1","0"
"Republican",37,"1","1","4","3"
"Republican",23,"2","1","3","0"
"Republican",29,"1","1","4","7"
"Republican",43,"2","1","3","7"
"Republican",45,"2","1","3","5"
"Republican",64,"2","1","3","5"
"Democrat",76,"1","1","1","7"
"Republican",47,"1","1","3","0"
"Republican",36,"1","1","1","0"
"Democrat",39,"2","1","3","2"
"Democrat",30,"1","1","3","7"
"Democrat",53,"2","2","1","2"
"Democrat",47,"1","1","1","0"
"Democrat",34,"1","1","3","0"
"Republican",64,"1","1","0","0"
"Republican",72,"1","1","1","1"
"Democrat",51,"1","1","1","0"
"Democrat",49,"2","1","1","3"
"Democrat",22,"2","2","1","5"
"Democrat",33,"1","2","1","3"
"Democrat",66,"2","1","4","0"
"Republican",55,"2","1","1","8"
"Republican",45,"2","1","2","0"
"Democrat",51,"1","1","3","2"
"Democrat",39,"1","2","0","0"
"Republican",20,"2","1","1","6"
"Republican",23,"1","1","1","0"
"Republican",64,"2","1","1","7"
"Democrat",26,"1","1","0","3"
"Democrat",53,"2","1","1","3"
"Republican",39,"2","1","1","7"
"Democrat",38,"1","3","1","7"
"Republican",89,"2","1","2","8"
"Republican",59,"2","1","2","2"
"Republican",33,"1","3","2","0"
"Democrat",34,"2","3","0","5"
"Republican",26,"2","3","1","7"
"Democrat",79,"2","1","0","8"
"Democrat",24,"1","1","1","2"
"Democrat",22,"2","1","0","2"
"Republican",26,"1","1","1","4"
"Democrat",45,"1","1","1","7"
"Republican",44,"1","1","1","7"
"Republican",55,"1","1","3","8"
"Republican",65,"2","1","3","7"
"Republican",58,"2","1","4","4"
"Democrat",37,"1","2","2","0"
"Democrat",32,"2","2","1","1"
"Republican",58,"1","1","4","8"
"Democrat",74,"2","1","3","3"
"Republican",67,"1","3","4","3"
"Republican",45,"1","3","1","2"
"Republican",28,"1","1","1","3"
"Democrat",71,"1","1","3","2"
"Democrat",46,"2","3","1","0"
"Republican",26,"2","1","1","2"
"Republican",65,"2","1","1","0"
"Republican",35,"1","3","1","0"
"Democrat",62,"1","1","1","0"
"Republican",88,"2","1","1","0"
"Republican",37,"1","1","3","7"
"Republican",46,"2","1","3","7"
"Republican",55,"2","1","3","7"
"Republican",36,"2","1","1","2"
"Republican",25,"1","1","1","1"
"Republican",37,"1","3","4","0"
"Republican",59,"2","1","0","5"
"Democrat",61,"2","1","4","0"
"Democrat",61,"1","1","2","7"
"Republican",25,"2","1","1","3"
"Democrat",54,"2","1","1","0"
"Democrat",39,"1","1","0","7"
"Republican",69,"2","1","0","2"
"Republican",29,"2","1","1","7"
"Republican",85,"2","1","1","0"
"Democrat",31,"2","3","0","0"
"Democrat",34,"2","1","4","7"
"Democrat",37,"2","1","0","7"
"Democrat",30,"2","3","1","0"
"Democrat",48,"1","1","4","0"
"Republican",82,"1","1","1","3"
"Democrat",53,"1","1","0","0"
"Democrat",32,"2","3","1","3"
"Republican",25,"2","3","1","0"
"Republican",76,"1","1","1","8"
"Democrat",18,"2","1","0","7"
"Democrat",61,"1","1","1","2"
"Republican",57,"1","1","1","7"
"Republican",36,"2","1","3","2"
"Republican",33,"1","1","0","0"
"Republican",50,"2","1","0","0"
"Democrat",80,"1","3","0","7"
"Republican",80,"2","1","1","8"
"Republican",70,"2","1","1","8"
"Democrat",69,"2","1","1","2"
"Republican",47,"1","1","3","7"
"Republican",79,"2","1","1","3"
"Republican",67,"2","1","3","3"
"Democrat",62,"2","1","1","1"
"Democrat",58,"2","1","1","0"
"Democrat",19,"2","1","1","2"
"Democrat",35,"1","1","3","0"
"Republican",36,"2","1","1","0"
"Democrat",86,"1","1","1","1"
"Republican",63,"2","1","1","1"
"Democrat",22,"1","1","1","0"
"Democrat",23,"2","1","2","0"
"Democrat",19,"2","1","1","1"
"Democrat",51,"2","1","3","0"
"Republican",68,"1","1","1","0"
"Democrat",23,"2","1","1","1"
"Democrat",65,"2","1","4","7"
"Republican",72,"1","1","1","2"
"Democrat",80,"1","1","0","0"
"Democrat",34,"2","1","1","0"
"Democrat",57,"2","3","1","7"
"Republican",61,"1","1","3","6"
"Democrat",53,"1","3","1","2"
"Republican",79,"1","1","1","0"
"Democrat",46,"2","1","0","7"
"Republican",45,"2","1","2","7"
"Republican",63,"1","1","1","0"
"Democrat",38,"2","1","1","2"
"Republican",51,"2","2","1","7"
"Democrat",47,"1","1","1","7"
"Democrat",39,"1","1","2","0"
"Democrat",55,"1","1","2","2"
"Democrat",45,"2","1","0","0"
"Democrat",67,"2","1","1","0"
"Democrat",49,"1","1","2","0"
"Republican",74,"1","1","1","2"
"Democrat",67,"1","1","0","6"
"Democrat",36,"1","1","1","7"
"Republican",58,"2","1","1","4"
"Democrat",21,"2","1","1","7"
"Republican",43,"2","1","3","7"
"Democrat",41,"1","1","0","4"
"Democrat",44,"1","1","0","6"
"Republican",18,"1","1","0","4"
"Republican",37,"1","1","2","0"
"Republican",24,"1","1","1","2"
"Republican",50,"1","1","4","7"
"Republican",71,"2","1","1","5"
"Republican",88,"2","1","4","3"
"Democrat",56,"1","1","4","7"
"Democrat",49,"2","1","2","2"
"Republican",48,"1","1","2","0"
"Democrat",59,"1","1","1","4"
"Republican",65,"2","1","2","8"
"Republican",79,"2","3","1","8"
"Republican",49,"1","1","1","7"
"Democrat",36,"2","1","1","8"
"Republican",55,"1","2","4","8"
"Democrat",59,"1","1","1","0"
"Republican",33,"1","1","3","4"
"Republican",48,"2","1","3","7"
"Republican",32,"2","1","2","5"
"Democrat",39,"2","1","4","3"
"Democrat",39,"2","2","3","3"
"Republican",54,"2","1","4","7"
"Democrat",71,"2","1","3","2"
"Democrat",35,"2","2","1","7"
"Republican",38,"1","3","1","8"
"Democrat",52,"2","1","1","3"
"Democrat",73,"2","1","0","5"
"Republican",75,"2","1","1","7"
"Democrat",89,"2","3","1","7"
"Republican",46,"1","1","1","4"
"Republican",37,"2","1","1","7"
"Republican",84,"2","1","1","0"
"Republican",55,"2","1","0","2"
"Republican",41,"1","1","1","3"
"Democrat",51,"2","1","1","1"
"Republican",65,"1","1","1","4"
"Republican",32,"2","1","1","4"
"Democrat",43,"2","2","1","3"
"Democrat",75,"2","1","1","7"
"Democrat",52,"2","2","0","5"
"Democrat",21,"1","1","1","7"
"Republican",32,"1","3","4","8"
"Republican",36,"2","1","1","8"
"Republican",80,"2","1","1","8"
"Republican",53,"1","1","1","8"
"Republican",61,"2","1","0","1"
"Democrat",75,"2","1","1","8"
"Democrat",65,"1","1","1","0"
"Republican",70,"2","1","1","4"
"Democrat",78,"1","1","0","0"
"Republican",35,"2","1","1","8"
"Republican",70,"1","1","2","3"
"Republican",32,"2","1","1","6"
"Republican",78,"1","1","1","7"
"Democrat",59,"1","1","1","0"
"Republican",60,"1","1","1","1"
"Democrat",23,"2","1","1","0"
"Democrat",61,"1","1","1","8"
"Democrat",65,"1","1","1","5"
"Democrat",51,"1","1","1","0"
"Republican",38,"1","1","1","1"
"Democrat",30,"1","1","3","0"
"Republican",30,"1","3","1","0"
"Republican",36,"1","1","3","8"
"Democrat",27,"1","1","3","3"
"Republican",31,"2","1","3","0"
"Democrat",41,"2","2","3","8"
"Republican",71,"1","1","1","1"
"Republican",44,"1","1","4","5"
"Republican",33,"2","1","3","7"
"Republican",25,"2","1","1","2"
"Democrat",26,"2","1","3","3"
"Democrat",36,"1","1","1","0"
"Democrat",86,"1","1","0","6"
"Democrat",72,"2","1","1","0"
"Democrat",36,"2","3","2","5"
"Democrat",87,"2","1","1","6"
"Democrat",61,"1","1","1","4"
"Republican",42,"1","1","1","3"
"Republican",59,"2","1","1","7"
"Republican",70,"2","1","1","6"
"Republican",48,"1","1","1","3"
"Republican",21,"2","1","1","0"
"Republican",74,"2","1","1","8"
"Democrat",59,"2","1","1","6"
"Democrat",56,"1","1","1","2"
"Democrat",54,"2","1","1","2"
"Republican",35,"2","1","1","2"
"Republican",61,"2","1","3","7"
"Democrat",79,"1","1","4","6"
"Democrat",32,"2","1","1","3"
"Democrat",61,"2","1","1","0"
"Democrat",29,"1","1","3","1"
"Republican",32,"1","1","3","7"
"Democrat",28,"2","1","1","3"
"Republican",47,"1","1","3","7"
"Democrat",26,"1","1","1","0"
"Republican",79,"2","1","1","7"
"Republican",39,"2","1","3","7"
"Democrat",57,"2","1","2","2"
"Republican",49,"1","1","1","0"
"Republican",82,"2","1","3","7"
"Republican",55,"1","1","1","7"
"Republican",78,"1","1","3","7"
"Republican",44,"2","1","1","1"
"Republican",62,"2","1","0","1"
"Republican",55,"1","1","1","7"
"Republican",71,"1","1","4","7"
"Democrat",33,"2","1","3","5"
"Democrat",44,"2","1","2","8"
"Democrat",76,"1","1","1","2"
"Democrat",89,"1","1","1","7"
"Republican",36,"2","1","1","2"
"Republican",87,"2","1","4","6"
"Republican",25,"2","1","3","7"
"Republican",74,"2","1","0","7"
"Democrat",28,"2","2","3","4"
"Democrat",44,"1","2","1","5"
"Republican",45,"1","1","1","8"
"Republican",77,"1","1","0","8"
"Republican",28,"1","1","2","7"
"Republican",29,"1","3","0","5"
"Republican",19,"2","1","1","4"
"Democrat",68,"1","1","1","7"
"Republican",56,"1","1","3","7"
"Republican",39,"2","2","1","6"
"Democrat",24,"2","1","1","7"
"Democrat",23,"1","1","1","0"
"Republican",21,"2","2","0","4"
"Republican",66,"2","1","1","8"
"Republican",23,"2","1","1","2"
"Republican",48,"2","1","1","7"
"Democrat",56,"2","1","1","7"
"Democrat",34,"2","2","2","7"
"Republican",56,"1","1","1","0"
"Republican",47,"1","1","1","3"
"Republican",73,"1","1","0","3"
"Republican",70,"2","1","4","2"
"Democrat",21,"2","1","2","5"
"Democrat",34,"1","1","3","2"
"Democrat",44,"2","1","1","2"
"Democrat",66,"1","1","1","7"
"Democrat",21,"1","2","1","0"
"Republican",50,"1","1","1","2"
"Democrat",49,"2","2","1","2"
"Republican",71,"1","1","1","7"
"Democrat",58,"2","1","3","5"
"Democrat",45,"2","1","3","2"
"Republican",28,"2","1","2","4"
"Republican",74,"1","1","2","1"
"Republican",60,"1","1","1","2"
"Democrat",50,"2","1","4","2"
"Republican",71,"1","1","1","2"
"Democrat",50,"1","3","1","4"
"Republican",69,"2","1","0","1"
"Republican",78,"1","1","0","1"
"Democrat",61,"2","3","3","8"
"Republican",48,"1","1","1","7"
"Democrat",22,"1","3","1","0"
